Time|s,zon.T|degC
1249200,20.801416
1250100,21.278498
1251000,21.614344
1251900,21.837275
1252800,21.984522
1252919.6,21.999994
1252919.6,21.999994
1253700,21.775843
1254600,21.306116
1255500,20.921839
1256400,20.655481
1257300,20.481714
1258200,20.371851
1259100,20.30401
1260000,20.263025
1260900,20.238977
1261800,20.225336
1262700,20.218012
1263600,20.214563
1264500,20.213251
1265400,20.212091
1266300,20.209772
1267200,20.20556
1268100,20.198725
1269000,20.187983
1269900,20.173395
1270800,20.156977
1271700,20.141382
1272600,20.128138
1273500,20.116816
1274400,20.105982
1275300,20.093195
1276200,20.075617
1277100,20.05401
1278000,20.032434
1278900,20.015375
1279800,20.003199
1280094.6,19.999994
1280094.6,19.999994
1280700,20.152155
1281600,20.683008
1282500,21.182123
1283400,21.536432
1284300,21.766077
1285200,21.909937
1286100,21.997644
1286132.5,21.999994
1286132.5,21.999994
