Time|s,zon.T|degC,vavDam.y
572400,24.14004,0
573300,24.209314,0
574200,24.273767,0
575100,24.332178,0
576000,24.38244,0
576900,24.421778,0
577800,24.448725,0
578700,24.464685,0
579600,24.472162,0
580500,24.473017,0
581400,24.468927,0
582300,24.461756,0
583200,24.452906,0
584100,24.44311,0
585000,24.432642,0
585900,24.421686,0
586800,24.410456,0
587700,24.39895,0
588600,24.387323,0
589500,24.375635,0
590400,24.363855,0
591300,24.352015,0
592200,24.340082,0
593100,24.328058,0
594000,24.315882,0
594900,24.303614,0
595800,24.291254,0
596700,24.278833,0
597600,24.266321,0
598500,24.253778,0
599400,24.241205,0
600300,24.228662,0
601200,24.21618,0
602100,24.2037,0
603000,24.191248,0
603900,24.178736,0
604800,24.166193,0
605700,24.15362,0
606600,24.140985,0
607500,24.12826,0
608400,24.115473,0
609300,24.102655,0
610200,24.089777,0
611100,24.076868,0
612000,24.06396,0
612900,24.05105,0
613800,24.038141,0
614700,24.025232,0
615600,24.012354,0
616500,23.999445,0
617400,23.986536,0
618300,23.973658,0
619200,23.96078,0
620100,23.94787,0
621000,23.934992,0
621900,23.922052,0
622800,23.909143,0
623700,23.896173,0
624600,23.883204,0
625500,23.870234,0
626400,23.857233,0
627300,23.844233,0
628200,23.831232,0
629100,23.818384,0
630000,23.806757,0
630900,23.797907,0
631800,23.793573,0
632700,23.795252,0
633600,23.805445,0
634500,23.827448,0
635400,23.861841,0
636300,23.90539,0
637200,23.953943,0
638100,24.005274,0
639000,24.058283,0
639900,24.112848,0
640800,24.169367,0
641700,24.227991,0
642600,24.288752,0
643500,24.35119,0
644400,24.41427,0
645300,24.476496,0
646200,24.537043,0
647100,24.596613,0
648000,24.656733,0
648900,24.718622,0
649800,24.782648,0
650700,24.848322,0
651600,24.914942,0
652500,24.98208,0
652739.44,24.999994,0
652739.44,24.999994,1
653400,24.11764,1
654300,23.543787,1
655200,23.345148,1
656100,23.290186,1
657000,23.294947,1
657900,23.327234,1
658800,23.372644,1
659700,23.422419,1
660600,23.469202,1
661500,23.509272,1
662400,23.540125,1
663300,23.558924,1
664200,23.563074,1
665100,23.555841,1
666000,23.54333,1
666900,23.530237,1
667800,23.515985,1
668700,23.500635,1
669600,23.484644,1
670500,23.468256,1
671400,23.451624,1
672300,23.434809,1
673200,23.417933,1
